countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
6111,CA,Ventura County ,846006,11805,14231,17846,24324,31819,39276,47046,53762,59753,64650,69086,73436,77476,81004,84462,88165,91277,94114,96771,99203,101983,105123,110243,117558,128955,143084,165563,193274,228496,259806,307591
6113,CA,Yolo County ,220500,1720,2010,2803,4017,5563,7558,9539,11329,12723,13947,15121,16128,17192,18153,18849,19298,19691,20202,20846,21621,22521,23375,25061,27389,31085,35353,39876,45797,52070,57492,63147
6115,CA,Yuba County ,78668,217,243,282,422,761,1249,1929,2640,3375,4077,4759,5373,6004,6551,6966,7280,7539,7774,8018,8305,8642,9059,9732,10691,12330,14471,17063,19905,22971,25675,28062
0,ID,Statewide Unallocated,0,0,0,0,0,6,7,1,8,42,22,22,10,15,20,9,18,11,3,0,13,16,1,15,1528,8,17,73,60,18,14,7
16001,ID,Ada County ,481587,5800,6073,7323,11193,16806,25019,35558,45950,53613,59934,67080,72192,76337,79812,82632,85226,88335,92601,98095,103604,110014,118282,128756,144023,158525,171456,188366,210148,231152,247561,266152
16003,ID,Adams County ,4294,21,24,59,70,76,84,88,106,124,130,146,161,175,175,180,186,196,196,201,218,263,424,524,590,611,676,813,900,1142,1413,1766
16005,ID,Bannock County ,87808,280,394,509,626,742,914,1193,1577,2035,2545,3200,3776,4151,4516,5024,5749,6691,7956,9673,11419,14826,18048,20626,22927,25860,29464,33458,37570,40548,42431,44686
16007,ID,Bear Lake County ,6125,0,0,0,0,11,14,17,30,42,84,137,170,207,215,217,222,278,324,353,391,453,522,646,859,1076,1247,1409,1559,1655,1738,1892
16009,ID,Benewah County ,9298,106,124,140,147,151,174,225,270,340,425,533,629,739,828,866,925,979,1042,1120,1140,1176,1243,1371,1493,1657,1883,2022,2224,2481,2775,3007
16011,ID,Bingham County ,46811,99,162,191,235,310,471,687,922,1178,1569,2156,2638,2987,3293,3886,4608,5975,6917,7829,8651,10316,11334,12518,14045,16263,18253,20404,22138,23606,24535,25461
