countyFIPS,State,County Name_x,population,Day,Weekly_cases_per_million
41069,OR,Wheeler County ,1332,2020-06-07,0.0
53023,WA,Garfield County ,2225,2020-06-07,0.0
0,ID,Statewide Unallocated,0,2020-06-07,
0,MT,Statewide Unallocated,0,2020-06-07,
0,OR,Statewide Unallocated,0,2020-06-07,
0,WY,Statewide Unallocated,0,2020-06-07,
0,CA,Statewide Unallocated,0,2020-06-08,inf
0,WA,Statewide Unallocated,0,2020-06-08,inf
6025,CA,Imperial County ,181215,2020-06-08,178925.58563032863
16013,ID,Blaine County ,23021,2020-06-08,156205.20394422486
53077,WA,Yakima County ,250873,2020-06-08,117457.83723238451
6031,CA,Kings County ,152940,2020-06-08,73179.02445403427
16053,ID,Jerome County ,24412,2020-06-08,54317.54874651811
56013,WY,Fremont County ,39261,2020-06-08,51679.784009576935
53021,WA,Franklin County ,95222,2020-06-08,49631.387704522065
6037,CA,Los Angeles County ,10039107,2020-06-08,47326.91861935528
16063,ID,Lincoln County ,5366,2020-06-08,43607.90160268356
30101,MT,Toole County ,4736,2020-06-08,42863.17567567568
6107,CA,Tulare County ,466195,2020-06-08,42480.078078915474
16083,ID,Twin Falls County ,86878,2020-06-08,35428.99238011925
6083,CA,Santa Barbara County ,446499,2020-06-08,35146.775244737386
56043,WY,Washakie County ,7805,2020-06-08,34465.086483023704
6065,CA,Riverside County ,2470546,2020-06-08,31043.74498592619
16087,ID,Washington County ,10194,2020-06-08,30998.626643123407
53005,WA,Benton County ,204390,2020-06-08,30241.20553843143
16031,ID,Cassia County ,24030,2020-06-08,30212.234706616728
56039,WY,Teton County ,23464,2020-06-08,29832.935560859187
53017,WA,Douglas County ,43429,2020-06-08,28253.010661079003
53001,WA,Adams County ,19983,2020-06-08,26422.459090226694
53033,WA,King County ,2252782,2020-06-08,25967.892144024587
6029,CA,Kern County ,900202,2020-06-08,25705.34168997625
53061,WA,Snohomish County ,822083,2020-06-08,25651.911060075443
30037,MT,Golden Valley County ,821,2020-06-08,25578.562728380024
6019,CA,Fresno County ,999101,2020-06-08,25199.654489385957
16047,ID,Gooding County ,15179,2020-06-08,24771.065287568348
53057,WA,Skagit County ,129205,2020-06-08,24178.630857938933
6071,CA,San Bernardino County ,2180085,2020-06-08,23586.69501418523
53007,WA,Chelan County ,77200,2020-06-08,23367.875647668396
6081,CA,San Mateo County ,766573,2020-06-08,23246.318354546795
16067,ID,Minidoka County ,21039,2020-06-08,22719.711012880838
6075,CA,City and County of San Francisco,881549,2020-06-08,22639.69444693375
6059,CA,Orange County ,3175692,2020-06-08,22120.847991555856
41047,OR,Marion County ,347818,2020-06-08,20602.72901344956
6073,CA,San Diego County ,3338330,2020-06-08,19479.799780129586
56017,WY,Hot Springs County ,4413,2020-06-08,19034.67029231815
6051,CA,Mono County ,14444,2020-06-08,18900.58155635558
30003,MT,Big Horn County ,13319,2020-06-08,18620.016517756587
6001,CA,Alameda County ,1671329,2020-06-08,17402.917079761075
6041,CA,Marin County ,258826,2020-06-08,16671.431772696717
53053,WA,Pierce County ,904980,2020-06-08,15479.900108289687
53025,WA,Grant County ,97733,2020-06-08,15286.545997769434
56019,WY,Johnson County ,8445,2020-06-08,14920.07104795737
53029,WA,Island County ,85141,2020-06-08,14881.19707309052
41031,OR,Jefferson County ,24658,2020-06-08,14680.833806472545
16069,ID,Nez Perce County ,40408,2020-06-08,14353.59334785191
6111,CA,Ventura County ,846006,2020-06-08,14329.68560506663
6099,CA,Stanislaus County ,550660,2020-06-08,14104.892311044929
6053,CA,Monterey County ,434061,2020-06-08,14051.020478688479
6039,CA,Madera County ,157327,2020-06-08,13659.448155752032
6077,CA,San Joaquin County ,762148,2020-06-08,13279.572996320925
56021,WY,Laramie County ,99500,2020-06-08,13226.130653266331
53071,WA,Walla Walla County ,60760,2020-06-08,12952.600394996709
53037,WA,Kittitas County ,47935,2020-06-08,12913.320120997183
6069,CA,San Benito County ,62808,2020-06-08,12434.721691504266
53073,WA,Whatcom County ,229247,2020-06-08,12432.005653290991
6003,CA,Alpine County ,1129,2020-06-08,12400.354295837024
6085,CA,Santa Clara County ,1927852,2020-06-08,12271.170193562577
56009,WY,Converse County ,13822,2020-06-08,12154.53624656345
16001,ID,Ada County ,481587,2020-06-08,12097.502631923204
16009,ID,Benewah County ,9298,2020-06-08,11938.051193805119
6047,CA,Merced County ,277680,2020-06-08,11750.936329588016
41027,OR,Hood River County ,23382,2020-06-08,11718.415875459756
41059,OR,Umatilla County ,77950,2020-06-08,11597.177677998716
6015,CA,Del Norte County ,27812,2020-06-08,11326.046310944917
6013,CA,Contra Costa County ,1153526,2020-06-08,11234.250463361901
6095,CA,Solano County ,447643,2020-06-08,11212.059610001721
41051,OR,Multnomah County ,812855,2020-06-08,10687.022900763359
16027,ID,Canyon County ,229849,2020-06-08,10041.37498966713
6097,CA,Sonoma County ,494336,2020-06-08,9979.042594510616
30031,MT,Gallatin County ,114434,2020-06-08,9865.948931261688
53039,WA,Klickitat County ,22425,2020-06-08,9632.10702341137
53063,WA,Spokane County ,522798,2020-06-08,9074.25047532699
41067,OR,Washington County ,601592,2020-06-08,9004.441548424846
53047,WA,Okanogan County ,42243,2020-06-08,8853.537864261534
6079,CA,San Luis Obispo County ,283111,2020-06-08,8657.3817336663
6027,CA,Inyo County ,18039,2020-06-08,8315.316813570598
41053,OR,Polk County ,86085,2020-06-08,8236.045768716966
6055,CA,Napa County ,137744,2020-06-08,8131.025670809618
16039,ID,Elmore County ,27511,2020-06-08,8105.848569663045
41065,OR,Wasco County ,26682,2020-06-08,8095.3451765234995
53011,WA,Clark County ,488241,2020-06-08,7953.039584959068
6113,CA,Yolo County ,220500,2020-06-08,7904.761904761904
41007,OR,Clatsop County ,40224,2020-06-08,7831.1455847255365
56007,WY,Carbon County ,14800,2020-06-08,7567.5675675675675
41049,OR,Morrow County ,11603,2020-06-08,7498.060846332845
41045,OR,Malheur County ,30571,2020-06-08,7458.048477315103
6067,CA,Sacramento County ,1552058,2020-06-08,7457.19554295007
16075,ID,Payette County ,23951,2020-06-08,7431.840006680306
41041,OR,Lincoln County ,49962,2020-06-08,7345.582642808535
56025,WY,Natrona County ,79858,2020-06-08,7137.669363119538
53031,WA,Jefferson County ,32221,2020-06-08,6734.738214208125
41043,OR,Linn County ,129749,2020-06-08,6581.938974481499
16045,ID,Gem County ,18112,2020-06-08,6570.229681978798
30057,MT,Madison County ,8600,2020-06-08,6511.627906976744
6043,CA,Mariposa County ,17203,2020-06-08,6510.492355984421
16081,ID,Teton County ,12142,2020-06-08,6341.624114643387
16025,ID,Camas County ,1106,2020-06-08,6329.113924050633
6087,CA,Santa Cruz County ,273213,2020-06-08,6306.434906098904
53069,WA,Wahkiakum County ,4488,2020-06-08,6238.859180035651
56041,WY,Uinta County ,20226,2020-06-08,6180.164145159695
16077,ID,Power County ,7681,2020-06-08,5988.803541205572
6023,CA,Humboldt County ,135558,2020-06-08,5953.1713362545925
56027,WY,Niobrara County ,2356,2020-06-08,5942.275042444821
53003,WA,Asotin County ,22582,2020-06-08,5889.646621202728
6021,CA,Glenn County ,28393,2020-06-08,5881.731412672138
6061,CA,Placer County ,398329,2020-06-08,5749.01651649767
41005,OR,Clackamas County ,418187,2020-06-08,5739.0593203519
53055,WA,San Juan County ,17582,2020-06-08,5573.882379706519
56023,WY,Lincoln County ,19830,2020-06-08,5295.00756429652
56037,WY,Sweetwater County ,42343,2020-06-08,5242.897291169733
41071,OR,Yamhill County ,107100,2020-06-08,5126.050420168067
53015,WA,Cowlitz County ,110593,2020-06-08,4946.063494072862
16003,ID,Adams County ,4294,2020-06-08,4890.544946436889
56005,WY,Campbell County ,46341,2020-06-08,4855.3117110118465
16073,ID,Owyhee County ,11823,2020-06-08,4736.530491415038
41017,OR,Deschutes County ,197692,2020-06-08,4663.820488436558
56011,WY,Crook County ,7584,2020-06-08,4614.978902953587
41035,OR,Klamath County ,68238,2020-06-08,4586.88707171957
30111,MT,Yellowstone County ,161300,2020-06-08,4519.528828270304
56001,WY,Albany County ,38880,2020-06-08,4501.028806584362
41003,OR,Benton County ,93053,2020-06-08,4492.06366264387
