countyFIPS,County Name_x,State,StateFIPS_cases,population,date,deaths,deaths_per_million
30007,Broadwater County ,MT,30,6237,2020-06-02,0,0.0
30009,Carbon County ,MT,30,10725,2020-06-02,0,0.0
30011,Carter County ,MT,30,1252,2020-06-02,0,0.0
30013,Cascade County ,MT,30,81366,2020-06-02,2,24.580291522257454
30015,Chouteau County ,MT,30,5635,2020-06-02,0,0.0
30017,Custer County ,MT,30,11402,2020-06-02,0,0.0
30019,Daniels County ,MT,30,1690,2020-06-02,0,0.0
30021,Dawson County ,MT,30,8613,2020-06-02,0,0.0
30023,Deer Lodge County ,MT,30,9140,2020-06-02,0,0.0
30025,Fallon County ,MT,30,2846,2020-06-02,0,0.0
30027,Fergus County ,MT,30,11050,2020-06-02,0,0.0
30029,Flathead County ,MT,30,103806,2020-06-02,2,19.266709053426585
30031,Gallatin County ,MT,30,114434,2020-06-02,1,8.738661586591398
30033,Garfield County ,MT,30,1258,2020-06-02,0,0.0
30035,Glacier County ,MT,30,13753,2020-06-02,0,0.0
30037,Golden Valley County ,MT,30,821,2020-06-02,0,0.0
30039,Granite County ,MT,30,3379,2020-06-02,0,0.0
30041,Hill County ,MT,30,16484,2020-06-02,0,0.0
30043,Jefferson County ,MT,30,12221,2020-06-02,0,0.0
30045,Judith Basin County ,MT,30,2007,2020-06-02,0,0.0
30047,Lake County ,MT,30,30458,2020-06-02,0,0.0
30049,Lewis and Clark County ,MT,30,69432,2020-06-02,0,0.0
30051,Liberty County ,MT,30,2337,2020-06-02,0,0.0
30053,Lincoln County ,MT,30,19980,2020-06-02,1,50.050050050050054
30055,McCone County ,MT,30,1664,2020-06-02,0,0.0
30057,Madison County ,MT,30,8600,2020-06-02,1,116.27906976744187
30059,Meagher County ,MT,30,1862,2020-06-02,0,0.0
30061,Mineral County ,MT,30,4397,2020-06-02,0,0.0
30063,Missoula County ,MT,30,119600,2020-06-02,0,0.0
30065,Musselshell County ,MT,30,4633,2020-06-02,0,0.0
30067,Park County ,MT,30,16606,2020-06-02,0,0.0
30069,Petroleum County ,MT,30,487,2020-06-02,0,0.0
30071,Phillips County ,MT,30,3954,2020-06-02,0,0.0
30073,Pondera County ,MT,30,5911,2020-06-02,0,0.0
30075,Powder River County ,MT,30,1682,2020-06-02,0,0.0
30077,Powell County ,MT,30,6890,2020-06-02,0,0.0
30079,Prairie County ,MT,30,1077,2020-06-02,0,0.0
30081,Ravalli County ,MT,30,43806,2020-06-02,0,0.0
30083,Richland County ,MT,30,10803,2020-06-02,0,0.0
30085,Roosevelt County ,MT,30,11004,2020-06-02,0,0.0
30087,Rosebud County ,MT,30,8937,2020-06-02,0,0.0
30089,Sanders County ,MT,30,12113,2020-06-02,0,0.0
30091,Sheridan County ,MT,30,3309,2020-06-02,0,0.0
30093,Silver Bow County ,MT,30,34915,2020-06-02,0,0.0
30095,Stillwater County ,MT,30,9642,2020-06-02,0,0.0
30097,Sweet Grass County ,MT,30,3737,2020-06-02,0,0.0
30099,Teton County ,MT,30,6147,2020-06-02,0,0.0
30101,Toole County ,MT,30,4736,2020-06-02,6,1266.8918918918919
30103,Treasure County ,MT,30,696,2020-06-02,0,0.0
30105,Valley County ,MT,30,7396,2020-06-02,0,0.0
30107,Wheatland County ,MT,30,2126,2020-06-02,0,0.0
30109,Wibaux County ,MT,30,969,2020-06-02,0,0.0
30111,Yellowstone County ,MT,30,161300,2020-06-02,3,18.598884066955982
