countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
13031,Bulloch County ,GA,13,82,103,154,293,508,624,791,925,1101,1262,1395,1472,1919,2405,2643,2782,2880,2922,2959,3015,3071,3128,3162,3203,3252,3300,3362,3450,3554,3651,3801,2,3,3,4,4,6,7,10,12,14,17,19,21,22,24,25,28,28,32,33,33,33,33,34,35,35,35,35,35,36,36,79608
13033,Burke County ,GA,13,125,126,133,142,156,183,245,329,408,467,546,617,650,691,727,766,802,843,854,869,879,901,917,954,979,996,1028,1059,1102,1146,1193,6,6,6,6,7,7,7,7,7,7,7,7,8,9,9,9,10,10,11,11,12,12,12,12,12,12,13,13,14,15,16,22383
13035,Butts County ,GA,13,242,245,246,264,294,342,364,405,465,490,511,532,564,579,608,630,654,684,712,723,739,749,777,822,852,885,932,1022,1141,1213,1350,24,32,32,33,33,35,35,36,37,37,40,40,40,41,41,42,42,43,43,43,44,44,44,45,45,45,45,46,46,47,47,24936
13037,Calhoun County ,GA,13,138,146,159,162,167,167,175,181,194,203,214,225,225,227,227,233,244,250,255,261,266,268,268,268,269,273,294,308,299,309,329,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9,9,9,10,10,10,11,11,11,11,11,11,11,6189
13039,Camden County ,GA,13,69,74,97,113,194,283,379,496,670,737,860,942,1013,1095,1150,1234,1290,1329,1357,1384,1408,1459,1499,1572,1670,1762,1841,1942,2034,2147,2302,1,1,1,2,2,2,3,4,4,5,7,7,7,7,7,7,9,13,16,17,18,18,18,18,18,18,18,18,18,19,19,54666
13043,Candler County ,GA,13,13,17,21,32,62,88,127,177,229,254,280,304,348,378,398,416,458,475,499,520,539,550,565,568,580,580,583,587,594,603,620,0,0,0,0,0,0,0,1,4,4,9,11,14,16,16,17,19,20,23,24,24,25,25,26,26,27,27,27,28,28,28,10803
13045,Carroll County ,GA,13,584,614,630,674,847,1050,1359,1542,1737,1881,2043,2208,2310,2434,2523,2644,2769,2874,2990,3170,3332,3428,3558,3724,3955,4116,4271,4629,4858,5118,5371,28,37,39,39,40,40,42,42,47,49,54,56,61,63,63,63,68,70,72,74,75,77,80,80,82,82,86,90,91,95,96,119992
13047,Catoosa County ,GA,13,160,229,276,303,324,359,390,452,540,637,709,794,860,939,1017,1101,1181,1237,1289,1341,1410,1493,1616,1726,1897,2054,2224,2499,2839,3089,3356,0,0,6,7,8,8,8,8,9,9,16,16,16,16,16,17,18,19,19,20,22,23,25,26,28,29,29,34,34,36,37,67580
13049,Charlton County ,GA,13,32,36,38,45,67,109,186,258,380,425,490,538,558,586,597,613,633,641,642,643,646,649,656,667,682,693,717,757,790,823,862,1,1,2,2,2,2,2,3,3,3,3,5,6,6,6,6,7,9,9,10,10,10,10,11,11,11,11,11,12,12,12,13392
13051,Chatham County ,GA,13,548,632,784,1098,1834,2552,3392,4261,4960,5703,6247,6665,7012,7388,7794,8114,8428,8652,8868,9101,9323,9547,9732,9994,10323,10612,10940,11457,11961,12472,13126,27,29,32,37,37,38,40,48,66,75,96,115,121,131,136,146,159,168,175,181,186,191,194,198,200,203,204,212,220,226,230,289430
